Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
تصنيف الهدايا حسب السعر,SAL-33,10192,Subtask,الميزانية والتخصيص,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:54 AM,18/Jan/26 8:55 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000jz:,,,,,10168,SAL-20,كـ مستخدم، أريد تحديد ميزانيتي قبل رؤية الهدايا.,In Progress,18/Jan/26 8:55 AM
إضافة فلتر الميزانية,SAL-32,10190,Subtask,الميزانية والتخصيص,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:54 AM,18/Jan/26 8:55 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000jr:,,,,,10168,SAL-20,كـ مستخدم، أريد تحديد ميزانيتي قبل رؤية الهدايا.,In Progress,18/Jan/26 8:55 AM
ترتيب النتائج حسب الملاءمة,SAL-31,10188,Subtask,ظام اقتراح الهدايا,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:51 AM,18/Jan/26 8:52 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000jj:,,,,,10166,SAL-18,كـ مستخدم، أريد إدخال معلومات عن الشخص (العمر – العلاقة – الاهتمامات).كـ مستخدم، أريد الحصول على اقتراحات هدايا ذكية.,In Progress,18/Jan/26 8:52 AM
ربط المناسبة بالهدايا,SAL-30,10186,Subtask,ظام اقتراح الهدايا,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:51 AM,18/Jan/26 8:52 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000jb:,,,,,10166,SAL-18,كـ مستخدم، أريد إدخال معلومات عن الشخص (العمر – العلاقة – الاهتمامات).كـ مستخدم، أريد الحصول على اقتراحات هدايا ذكية.,In Progress,18/Jan/26 8:52 AM
صميم منطق الاقتراح (Rules Engine),SAL-29,10184,Subtask,ظام اقتراح الهدايا,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:50 AM,18/Jan/26 8:52 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000j3:,,,,,10166,SAL-18,كـ مستخدم، أريد إدخال معلومات عن الشخص (العمر – العلاقة – الاهتمامات).كـ مستخدم، أريد الحصول على اقتراحات هدايا ذكية.,In Progress,18/Jan/26 8:51 AM
التحقق من صحة الإدخال,SAL-28,10182,Subtask,ظام اقتراح الهدايا,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:49 AM,18/Jan/26 8:50 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000iv:,,,,,10166,SAL-18,كـ مستخدم، أريد إدخال معلومات عن الشخص (العمر – العلاقة – الاهتمامات).كـ مستخدم، أريد الحصول على اقتراحات هدايا ذكية.,In Progress,18/Jan/26 8:50 AM
فظ البيانات مؤقتًا,SAL-27,10180,Subtask,ظام اقتراح الهدايا,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:49 AM,18/Jan/26 8:49 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000in:,,,,,10166,SAL-18,كـ مستخدم، أريد إدخال معلومات عن الشخص (العمر – العلاقة – الاهتمامات).كـ مستخدم، أريد الحصول على اقتراحات هدايا ذكية.,In Progress,18/Jan/26 8:49 AM
إنشاء نموذج إدخال بيانات,SAL-26,10178,Subtask,ظام اقتراح الهدايا,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:49 AM,18/Jan/26 8:49 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000if:,,,,,10166,SAL-18,كـ مستخدم، أريد إدخال معلومات عن الشخص (العمر – العلاقة – الاهتمامات).كـ مستخدم، أريد الحصول على اقتراحات هدايا ذكية.,In Progress,18/Jan/26 8:49 AM
ربط المناسبة بنظام الاقتراح,SAL-25,10176,Subtask,ادارة المناسبات,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:47 AM,18/Jan/26 8:47 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000i7:,,,,,10162,SAL-14,كـ مستخدم، أريد اختيار نوع المناسبة حتى أحصل على اقتراحات مناسبة,In Progress,18/Jan/26 8:47 AM
تصميم واجهة اختيار المناسبة,SAL-24,10174,Subtask,ادارة المناسبات,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:46 AM,18/Jan/26 8:47 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000hz:,,,,,10162,SAL-14,كـ مستخدم، أريد اختيار نوع المناسبة حتى أحصل على اقتراحات مناسبة,In Progress,18/Jan/26 8:47 AM
إنشاء قائمة بالمناسبات,SAL-23,10172,Subtask,ادارة المناسبات,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:46 AM,18/Jan/26 8:46 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000hr:,,,,,10162,SAL-14,كـ مستخدم، أريد اختيار نوع المناسبة حتى أحصل على اقتراحات مناسبة,In Progress,18/Jan/26 8:46 AM
كـ مستخدم، أريد تقييم الاقتراحات.,SAL-22,10170,Story,فظ الهدايا وتقييم الاقتراحات,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:45 AM,18/Jan/26 11:46 AM,18/Jan/26 10:51 AM,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000hj:,,,,,,,,In Progress,18/Jan/26 8:45 AM
كـ مستخدم، أريد حفظ الهدايا المفضلة.,SAL-21,10169,Story,فظ الهدايا وتقييم الاقتراحات,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:45 AM,18/Jan/26 11:46 AM,18/Jan/26 10:46 AM,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000hb:,,,,,,,,In Progress,18/Jan/26 8:45 AM
كـ مستخدم، أريد تحديد ميزانيتي قبل رؤية الهدايا.,SAL-20,10168,Story,الميزانية والتخصيص,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:44 AM,18/Jan/26 11:46 AM,18/Jan/26 8:54 AM,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000h3:,,,,,,,,In Progress,18/Jan/26 8:44 AM
كـ مستخدم، أريد إدخال معلومات عن الشخص (العمر – العلاقة – الاهتمامات).كـ مستخدم، أريد الحصول على اقتراحات هدايا ذكية.,SAL-18,10166,Story,ظام اقتراح الهدايا,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:43 AM,18/Jan/26 11:46 AM,18/Jan/26 8:52 AM,,,0,كـ مستخدم، أريد الحصول على اقتراحات هدايا ذكية.,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000gn:,,,,,,,,In Progress,18/Jan/26 8:43 AM
كـ مستخدم، أريد واجهة بسيطة وسهلة الاستخدام.,SAL-17,10165,Story,واجهة المستخدم,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:42 AM,18/Jan/26 11:46 AM,18/Jan/26 11:18 AM,18/Jan/26 8:42 AM,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000gf:,,,,,,,,Done,18/Jan/26 8:42 AM
كـ مستخدم، أريد اختيار نوع المناسبة حتى أحصل على اقتراحات مناسبة,SAL-14,10162,Story,ادارة المناسبات,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:41 AM,18/Jan/26 11:46 AM,18/Jan/26 8:46 AM,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000fr:,,,,,,,,In Progress,18/Jan/26 8:41 AM
View Gift Suggestions,SAL-6,10148,Epic,واجهة المستخدم,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:24 AM,18/Jan/26 11:46 AM,18/Jan/26 8:25 AM,,,0,كـ مستخدم، أريد إدخال معلومات عن الشخص (العمر – العلاقة – الاهتمامات),,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,grey,0|i000fj:,,,,,,,,Done,18/Jan/26 8:24 AM
Select Event Type,SAL-1,10139,Epic,واجهة المستخدم,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:19 AM,18/Jan/26 11:46 AM,18/Jan/26 8:20 AM,,,0,كـ مستخدم، أريد اختيار نوع المناسبة حتى أحصل على اقتراحات مناسبة,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,orange,0|i000ef:,,,,,,,,Done,18/Jan/26 8:19 AM
اختبار مشاركة الهدايا (QA),SCRUM-65,10138,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 6:03 AM,18/Jan/26 6:03 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000e7:,,,,,10106,SCRUM-47,Share Gift,To Do,18/Jan/26 6:03 AM
إنشاء API مشاركة الرابط أو الرسالة (Backend),SCRUM-64,10136,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 6:03 AM,18/Jan/26 6:03 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000dz:,,,,,10106,SCRUM-47,Share Gift,To Do,18/Jan/26 6:03 AM
تنفيذ زر المشاركة في Frontend,SCRUM-63,10134,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 6:02 AM,18/Jan/26 6:02 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000dr:,,,,,10106,SCRUM-47,Share Gift,To Do,18/Jan/26 6:02 AM
تصميم واجهة مشاركة الهدايا,SCRUM-62,10132,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 6:02 AM,18/Jan/26 6:02 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000dj:,,,,,10106,SCRUM-47,Share Gift,To Do,18/Jan/26 6:02 AM
اختبار التقييم (QA),SCRUM-61,10130,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 6:01 AM,18/Jan/26 6:01 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000db:,,,,,10107,SCRUM-48, Rate Gift,To Do,18/Jan/26 6:01 AM
حديث خوارزمية الاقتراحات بناءً على التقييم,SCRUM-60,10128,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 6:01 AM,18/Jan/26 6:01 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000d3:,,,,,10107,SCRUM-48, Rate Gift,To Do,18/Jan/26 6:01 AM
حفظ التقييم في قاعدة البيانات (Backend),SCRUM-59,10126,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 6:01 AM,18/Jan/26 6:01 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000cv:,,,,,10107,SCRUM-48, Rate Gift,To Do,18/Jan/26 6:01 AM
تنفيذ التقييم في Frontend,SCRUM-58,10124,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 6:00 AM,18/Jan/26 6:00 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000cn:,,,,,10107,SCRUM-48, Rate Gift,To Do,18/Jan/26 6:00 AM
تصميم نظام التقييم (نجوم أو Like/Dislike,SCRUM-57,10122,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 6:00 AM,18/Jan/26 6:00 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000cf:,,,,,10107,SCRUM-48, Rate Gift,To Do,18/Jan/26 6:00 AM
Manage Gifts,SCRUM-56,10120,Story,Admin/Gifts Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 5:59 AM,18/Jan/26 11:46 AM,18/Jan/26 5:59 AM,18/Jan/26 5:59 AM,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000c7:,,,,,,,,Done,18/Jan/26 5:59 AM
اختبار CRUD والتصنيفات (QA),SCRUM-55,10119,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 5:58 AM,18/Jan/26 5:58 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000bz:,,,,,10109,SCRUM-50,Manage Gifts,To Do,18/Jan/26 5:58 AM
إضافة نظام تصنيف الهدايا حسب المناسبة,SCRUM-54,10117,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 5:57 AM,18/Jan/26 5:57 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000br:,,,,,10109,SCRUM-50,Manage Gifts,To Do,18/Jan/26 5:57 AM
إنشاء API CRUD للهدايا (Backend),SCRUM-53,10115,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 5:57 AM,18/Jan/26 5:57 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000bj:,,,,,10109,SCRUM-50,Manage Gifts,To Do,18/Jan/26 5:57 AM
تنفيذ واجهة CRUD في Frontend,SCRUM-52,10113,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 5:57 AM,18/Jan/26 5:57 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000bb:,,,,,10109,SCRUM-50,Manage Gifts,To Do,18/Jan/26 5:57 AM
تصميم لوحة إدارة الهدايا,SCRUM-51,10111,Subtask,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 5:57 AM,18/Jan/26 5:57 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000b3:,,,,,10109,SCRUM-50,Manage Gifts,To Do,18/Jan/26 5:57 AM
Manage Gifts,SCRUM-50,10109,Story,Admin/Gifts Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 5:55 AM,18/Jan/26 11:46 AM,18/Jan/26 5:56 AM,18/Jan/26 5:56 AM,,0,"As an admin, I want to add, edit, and delete gifts so that the system stays up to date.",,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000av:,,,,,,,,Done,18/Jan/26 5:56 AM
Manage Gifts (CRUD),SCRUM-49,10108,Story,Admin/Gifts Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 5:54 AM,18/Jan/26 11:46 AM,,18/Jan/26 5:54 AM,,0,"As an admin, I want to add, edit, and delete gifts so that the system stays up to date.",,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000an:,,,,,,,,Done,18/Jan/26 5:54 AM
 Rate Gift,SCRUM-48,10107,Story,Interaction&sharing,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 5:53 AM,18/Jan/26 11:46 AM,18/Jan/26 6:00 AM,,,0,"As a user, I want to rate gifts so that future suggestions improve.",,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000af:,,,,,,,,In Progress,18/Jan/26 5:53 AM
Share Gift,SCRUM-47,10106,Story,Interaction&sharing,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 5:52 AM,18/Jan/26 11:46 AM,18/Jan/26 6:01 AM,,,0,"As a user, I want to share gift suggestions with others so that I can get feedback",,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000a7:,,,,,,,,In Progress,18/Jan/26 5:52 AM
CRUD,SCRUM-46,10073,Story,Admin/Gifts Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 12:10 AM,18/Jan/26 11:46 AM,,18/Jan/26 12:10 AM,,0,بناء قاعدة البيانات و اضافة ازرار التحكم,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0009z:,,,,,,,,Done,18/Jan/26 12:10 AM
