Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Rate Gift,SCRUM-15,10014,Story,Admin/Gifts Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:07 PM,18/Jan/26 11:46 AM,18/Jan/26 12:03 AM,18/Jan/26 12:02 AM,,0,"As a user, I want to rate gifts so that future suggestions improve.",,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i00033:,,,,,,,,Done,18/Jan/26 12:02 AM
 إدارة الهدايا (CRUD),SCRUM-14,10013,Story,Admin/Gifts Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:05 PM,18/Jan/26 11:46 AM,18/Jan/26 12:01 AM,18/Jan/26 12:04 AM,,0,"As a user, I want to share gift suggestions with others so that I can get feedback.",,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0002v:,,,,,,,,Done,18/Jan/26 12:04 AM
Save Gift to Wishlist,SCRUM-13,10012,Story,Gift Suggestions,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:04 PM,18/Jan/26 11:46 AM,17/Jan/26 11:58 PM,,,0,"As a user, I want to save gifts to my wishlist so that I can review them later.",,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0002n:,,,,,,,,In Progress,17/Jan/26 11:04 PM
View Gift Suggestions,SCRUM-12,10011,Story,Gift Suggestions,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:03 PM,18/Jan/26 11:46 AM,17/Jan/26 11:56 PM,,,0,"As a user, I want to see a list of suggested gifts so that I can choose the best one.",,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0002f:,,,,,,,,In Progress,17/Jan/26 11:03 PM
Enter Recipient Details,SCRUM-11,10010,Story,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 11:01 PM,18/Jan/26 11:46 AM,17/Jan/26 11:48 PM,,,0,"As a user, I want to enter recipient details (age, gender, interests) so that gift suggestions are personalized.

Acceptance Criteria:
إدخال العمر
إدخال الجنس
إدخال الاهتمامات
التحقق من المدخلات",,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i00027:,,,,,,,,To Do,17/Jan/26 11:01 PM
Select Event Type,SCRUM-10,10009,Story,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 10:59 PM,18/Jan/26 11:46 AM,18/Jan/26 6:38 AM,,,0,"{color:#4c9aff}*As a user, I want to select an event type (birthday, wedding, newborn, graduation, housewarming) so that I receive relevant gift suggestions.*{color}

Acceptance Criteria:
تظهر قائمة مناسبات
يمكن اختيار مناسبة واحدة
لا يمكن المتابعة بدون اختيار
يتم حفظ الاختيار",,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0001z:,,,,,,,,To Do,17/Jan/26 10:59 PM
Admin – Gifts Management,SCRUM-9,10008,Epic,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 10:52 PM,18/Jan/26 11:46 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0001r:,,,,,,,,To Do,17/Jan/26 10:53 PM
Interaction & Sharing,SCRUM-8,10007,Epic,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 10:52 PM,18/Jan/26 11:46 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0001j:,,,,,,,,To Do,17/Jan/26 10:52 PM
Gift Suggestions,SCRUM-7,10006,Epic,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 10:52 PM,18/Jan/26 11:46 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i0001b:,,,,,,,,To Do,17/Jan/26 10:52 PM
Event Management,SCRUM-6,10005,Epic,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 10:52 PM,18/Jan/26 11:46 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i00013:,,,,,,,,To Do,17/Jan/26 10:52 PM
manage different gift occasions,SCRUM-5,10004,Epic,Event Management,SCRUM,salamTeam,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Your first project,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,17/Jan/26 8:35 PM,18/Jan/26 11:46 AM,18/Jan/26 5:47 AM,,,0,"This epic handles different occasions such as:

* Birthday
* Wedding
* New baby
* New house",,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,yellow,0|i0000v:,,,,,,,,To Do,17/Jan/26 8:35 PM
